pop_idx,indiv_idx,regime,welfare,diversity_score,rho,beta,follow_recommendation,N,T,sigma
1,17,no_rec,-0.014673598758097633,202.39755102040817,0.1,0.1,False,1000,50,0.25
1,18,no_rec,0.058563984670865515,234.20897959183674,0.1,0.1,False,1000,50,0.25
1,19,no_rec,0.1280609435260344,222.16,0.1,0.1,False,1000,50,0.25
1,20,no_rec,0.13485194596779426,235.6595918367347,0.1,0.1,False,1000,50,0.25
1,21,no_rec,0.004318979341954512,227.74448979591838,0.1,0.1,False,1000,50,0.25
1,22,no_rec,0.01155952768131653,245.1730612244898,0.1,0.1,False,1000,50,0.25
1,23,no_rec,0.034936834029886774,192.58693877551022,0.1,0.1,False,1000,50,0.25
1,24,no_rec,-0.05000621793942138,219.48326530612246,0.1,0.1,False,1000,50,0.25
2,0,rec,0.9365961246385496,252.37387755102043,0.1,0.1,False,1000,50,0.25
2,1,rec,0.9319507428172166,251.96816326530615,0.1,0.1,False,1000,50,0.25
2,2,rec,0.9236326986812694,250.52,0.1,0.1,False,1000,50,0.25
2,3,rec,0.9489771915487403,252.1395918367347,0.1,0.1,False,1000,50,0.25
2,4,rec,0.9425200962229088,252.76897959183674,0.1,0.1,False,1000,50,0.25
2,5,rec,0.93246632951052,253.50367346938776,0.1,0.1,False,1000,50,0.25
2,6,rec,0.9392686386277125,252.58285714285716,0.1,0.1,False,1000,50,0.25
2,7,rec,0.9362896642304891,250.2734693877551,0.1,0.1,False,1000,50,0.25
2,8,rec,0.9531196713802322,253.80816326530612,0.1,0.1,False,1000,50,0.25
2,9,rec,0.9478874110973596,250.03510204081633,0.1,0.1,False,1000,50,0.25
2,10,rec,0.9417131592093964,254.30448979591839,0.1,0.1,False,1000,50,0.25
2,11,rec,0.9417912982033021,250.73551020408163,0.1,0.1,False,1000,50,0.25
2,12,rec,0.9436946559151872,251.97795918367348,0.1,0.1,False,1000,50,0.25
2,13,rec,0.9501274978733346,253.68816326530614,0.1,0.1,False,1000,50,0.25
2,14,rec,0.9474822190837064,254.1942857142857,0.1,0.1,False,1000,50,0.25
2,15,rec,0.9350425668366604,253.14938775510205,0.1,0.1,False,1000,50,0.25
2,16,rec,0.9496620062301928,248.42857142857144,0.1,0.1,False,1000,50,0.25
2,17,rec,0.9363107621291817,252.97795918367348,0.1,0.1,False,1000,50,0.25
2,18,rec,0.9502228401125055,251.9714285714286,0.1,0.1,False,1000,50,0.25
2,19,rec,0.9398083077878591,250.38938775510206,0.1,0.1,False,1000,50,0.25
2,20,rec,0.9511137479120706,254.16408163265308,0.1,0.1,False,1000,50,0.25
2,21,rec,0.9460074156041753,251.75183673469388,0.1,0.1,False,1000,50,0.25
2,22,rec,0.9416337783694413,251.47755102040819,0.1,0.1,False,1000,50,0.25
2,23,rec,0.9375134524214805,253.44979591836736,0.1,0.1,False,1000,50,0.25
2,24,rec,0.960249079290507,251.79346938775512,0.1,0.1,False,1000,50,0.25
2,0,partial,0.9193475101339438,251.8987755102041,0.1,0.1,0.008,1000,50,0.25
2,1,partial,0.9031535465743648,252.26367346938775,0.1,0.1,0.017,1000,50,0.25
2,2,partial,0.8949720507977372,248.91183673469388,0.1,0.1,0.012,1000,50,0.25
2,3,partial,0.9212670381207342,251.5322448979592,0.1,0.1,0.012,1000,50,0.25
2,4,partial,0.8876099980298624,251.45632653061224,0.1,0.1,0.014,1000,50,0.25
2,5,partial,0.9061081781462176,253.54693877551023,0.1,0.1,0.01,1000,50,0.25
