pop_idx,regime,rho,beta,N,T,sigma,jaccard
19,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555553
20,rec,0.1,0.1,1000,15,4.0,0.1435555555555562
20,partial,0.1,0.1,1000,15,4.0,0.5920000000000016
20,no_rec,0.1,0.1,1000,15,4.0,0.00022222222222222218
21,rec,0.1,0.1,1000,15,4.0,0.20888888888888985
21,partial,0.1,0.1,1000,15,4.0,0.5937777777777794
21,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555553
22,rec,0.1,0.1,1000,15,4.0,0.23444444444444537
22,partial,0.1,0.1,1000,15,4.0,0.6075555555555577
22,no_rec,0.1,0.1,1000,15,4.0,0.001333333333333333
23,rec,0.1,0.1,1000,15,4.0,0.1993333333333346
23,partial,0.1,0.1,1000,15,4.0,0.6026666666666691
23,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
24,rec,0.1,0.1,1000,15,4.0,0.21066666666666758
24,partial,0.1,0.1,1000,15,4.0,0.7477777777777834
24,no_rec,0.1,0.1,1000,15,4.0,0.00022222222222222218
25,rec,0.1,0.1,1000,15,4.0,0.2408888888888895
25,partial,0.1,0.1,1000,15,4.0,0.6166666666666675
25,no_rec,0.1,0.1,1000,15,4.0,0.0015555555555555557
26,rec,0.1,0.1,1000,15,4.0,0.1462222222222232
26,partial,0.1,0.1,1000,15,4.0,0.37844444444444614
26,no_rec,0.1,0.1,1000,15,4.0,0.0019999999999999996
27,rec,0.1,0.1,1000,15,4.0,0.17688888888888962
27,partial,0.1,0.1,1000,15,4.0,0.5762222222222236
27,no_rec,0.1,0.1,1000,15,4.0,0.002222222222222222
28,rec,0.1,0.1,1000,15,4.0,0.1586666666666674
28,partial,0.1,0.1,1000,15,4.0,0.6062222222222221
28,no_rec,0.1,0.1,1000,15,4.0,0.001111111111111111
29,rec,0.1,0.1,1000,15,4.0,0.09177777777777818
29,partial,0.1,0.1,1000,15,4.0,0.43977777777777827
29,no_rec,0.1,0.1,1000,15,4.0,0.0017777777777777774
30,rec,0.1,0.1,1000,15,4.0,0.1257777777777784
30,partial,0.1,0.1,1000,15,4.0,0.5291111111111104
30,no_rec,0.1,0.1,1000,15,4.0,0.0
31,rec,0.1,0.1,1000,15,4.0,0.18223809523809592
31,partial,0.1,0.1,1000,15,4.0,0.6303333333333335
31,no_rec,0.1,0.1,1000,15,4.0,0.00044444444444444436
32,rec,0.1,0.1,1000,15,4.0,0.1340000000000005
32,partial,0.1,0.1,1000,15,4.0,0.5493333333333342
32,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
33,rec,0.1,0.1,1000,15,4.0,0.16622222222222302
33,partial,0.1,0.1,1000,15,4.0,0.5102222222222219
33,no_rec,0.1,0.1,1000,15,4.0,0.001333333333333333
34,rec,0.1,0.1,1000,15,4.0,0.25888888888888956
34,partial,0.1,0.1,1000,15,4.0,0.6000000000000013
34,no_rec,0.1,0.1,1000,15,4.0,0.001111111111111111
35,rec,0.1,0.1,1000,15,4.0,0.13355555555555626
35,partial,0.1,0.1,1000,15,4.0,0.4799999999999997
35,no_rec,0.1,0.1,1000,15,4.0,0.002444444444444444
36,rec,0.1,0.1,1000,15,4.0,0.26866666666666705
36,partial,0.1,0.1,1000,15,4.0,0.5811111111111121
36,no_rec,0.1,0.1,1000,15,4.0,0.0008888888888888887
37,rec,0.1,0.1,1000,15,4.0,0.16200000000000064
37,partial,0.1,0.1,1000,15,4.0,0.5693333333333345
37,no_rec,0.1,0.1,1000,15,4.0,0.0008888888888888887
38,rec,0.1,0.1,1000,15,4.0,0.2628888888888902
38,partial,0.1,0.1,1000,15,4.0,0.7162222222222262
38,no_rec,0.1,0.1,1000,15,4.0,0.00044444444444444436
39,rec,0.1,0.1,1000,15,4.0,0.2726666666666674
39,partial,0.1,0.1,1000,15,4.0,0.8048888888888923
39,no_rec,0.1,0.1,1000,15,4.0,0.0006666666666666665
40,rec,0.1,0.1,1000,15,4.0,0.1886666666666677
40,partial,0.1,0.1,1000,15,4.0,0.7004444444444475
40,no_rec,0.1,0.1,1000,15,4.0,0.001333333333333333
41,rec,0.1,0.1,1000,15,4.0,0.16355555555555648
41,partial,0.1,0.1,1000,15,4.0,0.5877777777777795
41,no_rec,0.1,0.1,1000,15,4.0,0.0019999999999999996
42,rec,0.1,0.1,1000,15,4.0,0.24244444444444535
42,partial,0.1,0.1,1000,15,4.0,0.5086666666666666
42,no_rec,0.1,0.1,1000,15,4.0,0.001111111111111111
43,rec,0.1,0.1,1000,15,4.0,0.23000000000000104
43,partial,0.1,0.1,1000,15,4.0,0.5715555555555563
43,no_rec,0.1,0.1,1000,15,4.0,0.00044444444444444436
44,rec,0.1,0.1,1000,15,4.0,0.17977777777777854
44,partial,0.1,0.1,1000,15,4.0,0.5013333333333333
44,no_rec,0.1,0.1,1000,15,4.0,0.00022222222222222218
45,rec,0.1,0.1,1000,15,4.0,0.17222222222222297
45,partial,0.1,0.1,1000,15,4.0,0.6411111111111132
