pop_idx,regime,rho,beta,N,T,sigma,jaccard
1,no_rec,0.1,0.5,1000,50,0.25,0.0008000000000000007
2,rec,0.1,0.5,1000,50,0.25,0.006466666666666673
2,partial,0.1,0.5,1000,50,0.25,0.016733333333333277
2,no_rec,0.1,0.5,1000,50,0.25,0.0006000000000000005
3,rec,0.1,0.5,1000,50,0.25,0.0028000000000000026
3,partial,0.1,0.5,1000,50,0.25,0.0078
3,no_rec,0.1,0.5,1000,50,0.25,0.0010000000000000009
4,rec,0.1,0.5,1000,50,0.25,0.005266666666666671
4,partial,0.1,0.5,1000,50,0.25,0.008866666666666658
4,no_rec,0.1,0.5,1000,50,0.25,0.001466666666666668
5,rec,0.1,0.5,1000,50,0.25,0.005600000000000005
5,partial,0.1,0.5,1000,50,0.25,0.01199999999999996
5,no_rec,0.1,0.5,1000,50,0.25,0.0010666666666666676
6,rec,0.1,0.5,1000,50,0.25,0.004466666666666671
6,partial,0.1,0.5,1000,50,0.25,0.008599999999999986
6,no_rec,0.1,0.5,1000,50,0.25,0.0010666666666666676
7,rec,0.1,0.5,1000,50,0.25,0.00426666666666667
7,partial,0.1,0.5,1000,50,0.25,0.012933333333333297
7,no_rec,0.1,0.5,1000,50,0.25,0.0010666666666666676
8,rec,0.1,0.5,1000,50,0.25,0.004933333333333337
8,partial,0.1,0.5,1000,50,0.25,0.007399999999999996
8,no_rec,0.1,0.5,1000,50,0.25,0.0010000000000000009
9,rec,0.1,0.5,1000,50,0.25,0.0037333333333333368
9,partial,0.1,0.5,1000,50,0.25,0.008399999999999994
9,no_rec,0.1,0.5,1000,50,0.25,0.0010666666666666676
10,rec,0.1,0.5,1000,50,0.25,0.005266666666666671
10,partial,0.1,0.5,1000,50,0.25,0.007333333333333331
10,no_rec,0.1,0.5,1000,50,0.25,0.0010000000000000009
11,rec,0.1,0.5,1000,50,0.25,0.00366666666666667
11,partial,0.1,0.5,1000,50,0.25,0.01046666666666664
11,no_rec,0.1,0.5,1000,50,0.25,0.0010666666666666676
12,rec,0.1,0.5,1000,50,0.25,0.0057333333333333385
12,partial,0.1,0.5,1000,50,0.25,0.011066666666666641
12,no_rec,0.1,0.5,1000,50,0.25,0.0006666666666666673
13,rec,0.1,0.5,1000,50,0.25,0.004933333333333337
13,partial,0.1,0.5,1000,50,0.25,0.009466666666666639
13,no_rec,0.1,0.5,1000,50,0.25,0.0016000000000000014
14,rec,0.1,0.5,1000,50,0.25,0.004733333333333338
14,partial,0.1,0.5,1000,50,0.25,0.008266666666666651
14,no_rec,0.1,0.5,1000,50,0.25,0.000733333333333334
15,rec,0.1,0.5,1000,50,0.25,0.004200000000000004
15,partial,0.1,0.5,1000,50,0.25,0.010533333333333313
15,no_rec,0.1,0.5,1000,50,0.25,0.0008000000000000007
16,rec,0.1,0.5,1000,50,0.25,0.004066666666666671
16,partial,0.1,0.5,1000,50,0.25,0.008266666666666648
16,no_rec,0.1,0.5,1000,50,0.25,0.0010000000000000009
17,rec,0.1,0.5,1000,50,0.25,0.00426666666666667
17,partial,0.1,0.5,1000,50,0.25,0.010933333333333305
17,no_rec,0.1,0.5,1000,50,0.25,0.001200000000000001
18,rec,0.1,0.5,1000,50,0.25,0.0032000000000000028
18,partial,0.1,0.5,1000,50,0.25,0.007082993197278916
18,no_rec,0.1,0.5,1000,50,0.25,0.0010000000000000009
19,rec,0.1,0.5,1000,50,0.25,0.005200000000000005
19,partial,0.1,0.5,1000,50,0.25,0.01293605442176868
19,no_rec,0.1,0.5,1000,50,0.25,0.001200000000000001
20,rec,0.1,0.5,1000,50,0.25,0.0028000000000000026
20,partial,0.1,0.5,1000,50,0.25,0.006733333333333338
20,no_rec,0.1,0.5,1000,50,0.25,0.001200000000000001
21,rec,0.1,0.5,1000,50,0.25,0.005266666666666671
21,partial,0.1,0.5,1000,50,0.25,0.01393333333333329
21,no_rec,0.1,0.5,1000,50,0.25,0.0013333333333333346
22,rec,0.1,0.5,1000,50,0.25,0.004466666666666671
22,partial,0.1,0.5,1000,50,0.25,0.00986666666666666
22,no_rec,0.1,0.5,1000,50,0.25,0.000733333333333334
23,rec,0.1,0.5,1000,50,0.25,0.0040000000000000036
23,partial,0.1,0.5,1000,50,0.25,0.008266666666666648
23,no_rec,0.1,0.5,1000,50,0.25,0.0008666666666666674
24,rec,0.1,0.5,1000,50,0.25,0.005066666666666672
24,partial,0.1,0.5,1000,50,0.25,0.01893333333333322
24,no_rec,0.1,0.5,1000,50,0.25,0.0011333333333333343
0,rec,0.1,0.5,1000,50,1.0,0.004600000000000004
0,partial,0.1,0.5,1000,50,1.0,0.0331333333333331
0,no_rec,0.1,0.5,1000,50,1.0,0.00033333333333333365
1,rec,0.1,0.5,1000,50,1.0,0.0060666666666666725
1,partial,0.1,0.5,1000,50,1.0,0.029866666666666493
1,no_rec,0.1,0.5,1000,50,1.0,0.000733333333333334
2,rec,0.1,0.5,1000,50,1.0,0.008533333333333327
2,partial,0.1,0.5,1000,50,1.0,0.03159999999999984
2,no_rec,0.1,0.5,1000,50,1.0,0.001466666666666668
3,rec,0.1,0.5,1000,50,1.0,0.004533333333333337
3,partial,0.1,0.5,1000,50,1.0,0.017799999999999944
3,no_rec,0.1,0.5,1000,50,1.0,0.0006666666666666673
4,rec,0.1,0.5,1000,50,1.0,0.005400000000000005
4,partial,0.1,0.5,1000,50,1.0,0.022599999999999922
4,no_rec,0.1,0.5,1000,50,1.0,0.001266666666666668
5,rec,0.1,0.5,1000,50,1.0,0.006533333333333339
5,partial,0.1,0.5,1000,50,1.0,0.028133333333333232
5,no_rec,0.1,0.5,1000,50,1.0,0.0006666666666666673
6,rec,0.1,0.5,1000,50,1.0,0.005266666666666671
6,partial,0.1,0.5,1000,50,1.0,0.023266666666666568
6,no_rec,0.1,0.5,1000,50,1.0,0.0015346938775510218
7,rec,0.1,0.5,1000,50,1.0,0.004866666666666671
7,partial,0.1,0.5,1000,50,1.0,0.020999999999999908
7,no_rec,0.1,0.5,1000,50,1.0,0.0008666666666666674
8,rec,0.1,0.5,1000,50,1.0,0.005200000000000005
8,partial,0.1,0.5,1000,50,1.0,0.017466666666666585
8,no_rec,0.1,0.5,1000,50,1.0,0.0009333333333333342
9,rec,0.1,0.5,1000,50,1.0,0.004400000000000004
9,partial,0.1,0.5,1000,50,1.0,0.017933333333333273
9,no_rec,0.1,0.5,1000,50,1.0,0.0013333333333333346
10,rec,0.1,0.5,1000,50,1.0,0.005533333333333338
10,partial,0.1,0.5,1000,50,1.0,0.017599999999999952
10,no_rec,0.1,0.5,1000,50,1.0,0.0011333333333333343
11,rec,0.1,0.5,1000,50,1.0,0.005333333333333338
11,partial,0.1,0.5,1000,50,1.0,0.025599999999999883
11,no_rec,0.1,0.5,1000,50,1.0,0.001466666666666668
12,rec,0.1,0.5,1000,50,1.0,0.006733333333333338
12,partial,0.1,0.5,1000,50,1.0,0.025399999999999895
12,no_rec,0.1,0.5,1000,50,1.0,0.001466666666666668
13,rec,0.1,0.5,1000,50,1.0,0.006600000000000006
13,partial,0.1,0.5,1000,50,1.0,0.028466666666666498
13,no_rec,0.1,0.5,1000,50,1.0,0.0010666666666666676
14,rec,0.1,0.5,1000,50,1.0,0.006266666666666672
14,partial,0.1,0.5,1000,50,1.0,0.01853333333333324
14,no_rec,0.1,0.5,1000,50,1.0,0.001266666666666668
15,rec,0.1,0.5,1000,50,1.0,0.005666666666666671
15,partial,0.1,0.5,1000,50,1.0,0.03386666666666647
15,no_rec,0.1,0.5,1000,50,1.0,0.0015333333333333347
16,rec,0.1,0.5,1000,50,1.0,0.0057333333333333385
16,partial,0.1,0.5,1000,50,1.0,0.01826666666666658
16,no_rec,0.1,0.5,1000,50,1.0,0.0009333333333333342
17,rec,0.1,0.5,1000,50,1.0,0.005266666666666671
17,partial,0.1,0.5,1000,50,1.0,0.027266666666666523
17,no_rec,0.1,0.5,1000,50,1.0,0.0011333333333333343
18,rec,0.1,0.5,1000,50,1.0,0.004600000000000004
18,partial,0.1,0.5,1000,50,1.0,0.01619591836734693
18,no_rec,0.1,0.5,1000,50,1.0,0.0008666666666666674
19,rec,0.1,0.5,1000,50,1.0,0.005666666666666671
19,partial,0.1,0.5,1000,50,1.0,0.034338775510203846
19,no_rec,0.1,0.5,1000,50,1.0,0.0008666666666666674
20,rec,0.1,0.5,1000,50,1.0,0.004133333333333337
20,partial,0.1,0.5,1000,50,1.0,0.019999999999999934
20,no_rec,0.1,0.5,1000,50,1.0,0.0008000000000000007
21,rec,0.1,0.5,1000,50,1.0,0.005666666666666671
21,partial,0.1,0.5,1000,50,1.0,0.03333469387755083
21,no_rec,0.1,0.5,1000,50,1.0,0.0016000000000000014
22,rec,0.1,0.5,1000,50,1.0,0.005200000000000005
22,partial,0.1,0.5,1000,50,1.0,0.022133333333333248
22,no_rec,0.1,0.5,1000,50,1.0,0.0016000000000000014
23,rec,0.1,0.5,1000,50,1.0,0.005600000000000005
23,partial,0.1,0.5,1000,50,1.0,0.029066666666666505
23,no_rec,0.1,0.5,1000,50,1.0,0.0011333333333333343
24,rec,0.1,0.5,1000,50,1.0,0.005600000000000005
24,partial,0.1,0.5,1000,50,1.0,0.03839999999999972
24,no_rec,0.1,0.5,1000,50,1.0,0.001266666666666668
0,rec,0.1,0.5,1000,50,4.0,0.004800000000000004
0,partial,0.1,0.5,1000,50,4.0,0.05726666666666635
0,no_rec,0.1,0.5,1000,50,4.0,0.00040000000000000034
1,rec,0.1,0.5,1000,50,4.0,0.007533333333333329
1,partial,0.1,0.5,1000,50,4.0,0.055666666666666295
1,no_rec,0.1,0.5,1000,50,4.0,0.0011333333333333343
2,rec,0.1,0.5,1000,50,4.0,0.008999999999999989
2,partial,0.1,0.5,1000,50,4.0,0.062333333333333164
2,no_rec,0.1,0.5,1000,50,4.0,0.001266666666666668
3,rec,0.1,0.5,1000,50,4.0,0.004466666666666671
3,partial,0.1,0.5,1000,50,4.0,0.03359999999999982
3,no_rec,0.1,0.5,1000,50,4.0,0.0010000000000000009
4,rec,0.1,0.5,1000,50,4.0,0.005066666666666672
4,partial,0.1,0.5,1000,50,4.0,0.041799999999999775
4,no_rec,0.1,0.5,1000,50,4.0,0.001200000000000001
5,rec,0.1,0.5,1000,50,4.0,0.007133333333333335
5,partial,0.1,0.5,1000,50,4.0,0.05733333333333312
5,no_rec,0.1,0.5,1000,50,4.0,0.001466666666666668
6,rec,0.1,0.5,1000,50,4.0,0.004866666666666671
6,partial,0.1,0.5,1000,50,4.0,0.044933333333332964
6,no_rec,0.1,0.5,1000,50,4.0,0.001466666666666668
7,rec,0.1,0.5,1000,50,4.0,0.004866666666666671
7,partial,0.1,0.5,1000,50,4.0,0.03773333333333307
7,no_rec,0.1,0.5,1000,50,4.0,0.0009333333333333342
8,rec,0.1,0.5,1000,50,4.0,0.006666666666666672
8,partial,0.1,0.5,1000,50,4.0,0.037199999999999754
8,no_rec,0.1,0.5,1000,50,4.0,0.001266666666666668
9,rec,0.1,0.5,1000,50,4.0,0.004866666666666671
9,partial,0.1,0.5,1000,50,4.0,0.03513333333333313
9,no_rec,0.1,0.5,1000,50,4.0,0.0008000000000000007
10,rec,0.1,0.5,1000,50,4.0,0.0046666666666666705
10,partial,0.1,0.5,1000,50,4.0,0.03473333333333314
10,no_rec,0.1,0.5,1000,50,4.0,0.0013333333333333346
11,rec,0.1,0.5,1000,50,4.0,0.005333333333333338
11,partial,0.1,0.5,1000,50,4.0,0.04779999999999964
11,no_rec,0.1,0.5,1000,50,4.0,0.0010666666666666676
12,rec,0.1,0.5,1000,50,4.0,0.006000000000000005
12,partial,0.1,0.5,1000,50,4.0,0.05119999999999963
12,no_rec,0.1,0.5,1000,50,4.0,0.0009333333333333342
